@RELATION fractal

@ATTRIBUTE a1 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1.92940842777, 3
1.88157948074, 3
1.89379583362, 2
1.89158571238, 3
1.88313198235, 2
1.89502515595, 3
1.92962629669, 3
1.886917698, 2
1.88391110379, 3
1.89693482996, 3
1.88984221681, 3
1.92574495431, 3
1.90930980349, 3
1.87873950771, 2
1.88279829978, 2
1.90471857158, 3
1.90518466492, 2
1.89794646585, 3
1.86132389639, 3
1.92024515333, 3
1.91620498195, 3
1.8749890657, 3
1.89801143927, 3
1.92008884138, 3
1.91032840016, 2
1.85001620364, 3
1.87850834999, 2
1.85123473712, 3
1.88239506478, 2
1.92083093408, 2
1.88201576778, 2
1.90104284423, 3
1.89772604241, 3
1.87415215528, 3
1.85938832393, 4
1.85956192731, 3
1.88626508213, 4
1.86669030255, 3
1.87380641918, 4
1.87238429704, 5
1.86221759961, 3
1.84316645767, 4
1.87017809168, 3
1.90024469542, 3
1.85082013165, 3
1.88609620455, 4
1.77216025811, 4
1.87256028505, 4
1.87468902506, 4
1.87735033044, 4
1.88316506548, 3
1.86428775387, 4
1.89606645527, 4
1.89875356805, 3
1.90687634663, 3
1.82131392072, 4
1.90036974528, 4
1.90005966148, 4
1.920260893, 3
1.91069247541, 3
1.85718048742, 3
1.85856458926, 2
1.8937678847, 2
1.87145647472, 3
1.8839887508, 2
1.87835742761, 3
1.87768098183, 3
1.90154959069, 3
1.90438173008, 3
1.89919961997, 4
1.87100085439, 3
1.92078115809, 3
1.86344752221, 2
1.92626244625, 2
1.87140619529, 2
1.88992233122, 3
1.89238189309, 3
1.88626717487, 3
1.90787745846, 3
1.90294334804, 3
1.8753498526, 3
1.84200493499, 3
1.88068435839, 3
1.87759861315, 3
1.88599774833, 3
1.88902354486, 2
1.86579326489, 3
1.9046094347, 3
1.87219999843, 3
1.89661347428, 3
1.87153658613, 3
1.86276534955, 2
1.91054912548, 3
1.8615298478, 3
1.86521113091, 2
1.90682917558, 3
1.8701203631, 3
1.87534453461, 3
1.86453688672, 3
1.89183678968, 3
1.87290421401, 5
1.92769806449, 5
1.91121512126, 5
1.8958790335, 5
1.87404125654, 5
1.86252613631, 4
1.91552079489, 5
1.90771765008, 4
1.80698750045, 4
1.82759667147, 5
1.85769072871, 4
1.83471290818, 1
1.93396218874, 2
1.83446677053, 2
1.88923844682, 2
1.9165706508, 3
1.93062509496, 3
1.91654788771, 3
1.91653450096, 2
1.91541918659, 4
1.91148322667, 3
1.94992747578, 3
1.87174284705, 3
1.85553927495, 4
1.87436435464, 3
1.84085215712, 3
1.88322523565, 3
1.95582097057, 2
1.87948978697, 2
1.92951674053, 2
1.87771086737, 3
1.91417761034, 3
1.93667316779, 5
1.88267746884, 3
1.87971129867, 3
1.88174005634, 3
1.90504479241, 3
1.93729987179, 3
1.90880443331, 3
1.85117100309, 2
1.94897873542, 3
1.797431134, 5
1.8888385221, 3
1.88524881529, 3
1.94655173315, 3
1.88813190157, 3
1.86505287887, 2
1.94627811978, 2
1.89815702568, 3
1.89606709256, 2
1.8930638726, 3
1.89681288088, 2
1.91059965461, 2
1.90605699319, 2
1.91732655321, 2
1.85595701169, 2
1.93064686458, 2
1.92058805835, 3
1.88885354945, 1
1.88639615025, 2
1.8437101926, 2
1.95281150067, 3
1.95233692325, 2
1.89977073377, 2
1.919898818, 2
1.86078089845, 5
1.83528328751, 4
1.86609110082, 3
1.87260507235, 5
1.95433640048, 2
1.90740477977, 2
1.9243369287, 5
1.93877462582, 2
1.88693731759, 2
1.86120505899, 2
1.88284423903, 2
1.89996108228, 4
1.91652664904, 3
1.8595621407, 3
1.85242397821, 2
1.90458561615, 3
1.95851503016, 3
1.95703726943, 3
1.94391714362, 2
1.85222158153, 2
1.87293282674, 5
1.87104321418, 2
1.8260651358, 4
