@RELATION all

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE a26 REAL
@ATTRIBUTE a27 REAL
@ATTRIBUTE a28 REAL
@ATTRIBUTE a29 REAL
@ATTRIBUTE a30 REAL
@ATTRIBUTE a31 REAL
@ATTRIBUTE a32 REAL
@ATTRIBUTE a33 REAL
@ATTRIBUTE a34 REAL
@ATTRIBUTE a35 REAL
@ATTRIBUTE a36 REAL
@ATTRIBUTE a37 REAL
@ATTRIBUTE a38 REAL
@ATTRIBUTE a39 REAL
@ATTRIBUTE a40 REAL
@ATTRIBUTE a41 REAL
@ATTRIBUTE a42 REAL
@ATTRIBUTE a43 REAL
@ATTRIBUTE a44 REAL
@ATTRIBUTE a45 REAL
@ATTRIBUTE a46 REAL
@ATTRIBUTE a47 REAL
@ATTRIBUTE a48 REAL
@ATTRIBUTE a49 REAL
@ATTRIBUTE a50 REAL
@ATTRIBUTE a51 REAL
@ATTRIBUTE a52 REAL
@ATTRIBUTE a53 REAL
@ATTRIBUTE a54 REAL
@ATTRIBUTE a55 REAL
@ATTRIBUTE a56 REAL
@ATTRIBUTE a57 REAL
@ATTRIBUTE a58 REAL
@ATTRIBUTE a59 REAL
@ATTRIBUTE a60 REAL
@ATTRIBUTE a61 REAL
@ATTRIBUTE a62 REAL
@ATTRIBUTE a63 REAL
@ATTRIBUTE a64 REAL
@ATTRIBUTE a65 REAL
@ATTRIBUTE a66 REAL
@ATTRIBUTE a67 REAL
@ATTRIBUTE a68 REAL
@ATTRIBUTE a69 REAL
@ATTRIBUTE a70 REAL
@ATTRIBUTE a71 REAL
@ATTRIBUTE a72 REAL
@ATTRIBUTE a73 REAL
@ATTRIBUTE a74 REAL
@ATTRIBUTE a75 REAL
@ATTRIBUTE a76 REAL
@ATTRIBUTE a77 REAL
@ATTRIBUTE a78 REAL
@ATTRIBUTE a79 REAL
@ATTRIBUTE a80 REAL
@ATTRIBUTE a81 REAL
@ATTRIBUTE a82 REAL
@ATTRIBUTE a83 REAL
@ATTRIBUTE a84 REAL
@ATTRIBUTE a85 REAL
@ATTRIBUTE a86 REAL
@ATTRIBUTE a87 REAL
@ATTRIBUTE a88 REAL
@ATTRIBUTE a89 REAL
@ATTRIBUTE a90 REAL
@ATTRIBUTE a91 REAL
@ATTRIBUTE a92 REAL
@ATTRIBUTE a93 REAL
@ATTRIBUTE a94 REAL
@ATTRIBUTE a95 REAL
@ATTRIBUTE a96 REAL
@ATTRIBUTE a97 REAL
@ATTRIBUTE a98 REAL
@ATTRIBUTE a99 REAL
@ATTRIBUTE a100 REAL
@ATTRIBUTE a101 REAL
@ATTRIBUTE a102 REAL
@ATTRIBUTE a103 REAL
@ATTRIBUTE a104 REAL
@ATTRIBUTE a105 REAL
@ATTRIBUTE a106 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1.94902896259, 726.455169242, 845.324155306, 965.00085044, 758.339789806, 590.083524642, 443.914214537, 355.707246719, 356.875577631, 357.736589052, 549.923419968, 536.568855626, 680.133875301, 716.006873116, 693.615568021, 624.515028738, 626.084729843, 597.912405251, 514.112180004, 780.894792872, 444.858292802, 392.095745807, 385.439814609, 459.151876918, 550.65482209, 724.09460591, 913.877823324, 898.312978063, 902.562461666, 849.682001345, 717.927838612, 493.835062034, 456.939915483, 449.8269963, 448.627651491, 501.914314869, 620.022944266, 682.875418239, 554.973074692, 607.020538845, 634.324134528, 710.555744064, 721.108955383, 674.948981914, 639.471600365, 571.444851882, 921.456492305, 632.746269989, 500.644569627, 447.753688815, 470.262734906, 490.936055494, 534.812829919, 711.229982895, 827.961574273, 928.262195254, 748.567880219, 558.823511664, 411.758491397, 405.641455862, 445.309306837, 507.585274533, 635.813639143, 765.028342423, 690.418738393, 529.945750118, 556.107499499, 606.995510408, 676.31753586, 698.062128367, 670.353541315, 624.08388311, 562.146727214, 916.8720178, 765.5562049, 637.968251713, 531.546567169, 477.797397682, 448.328783983, 438.831258615, 529.466769939, 683.112685484, 3.08403086322e-14, 15.1885474815, -6.4513486955e-14, 60.6145833896, 2.80292330527e-13, 78.8949880638, -0.000353127279064, 16.9481141567, -0.00196081682397, 69.8725453209, -0.00278239933736, 93.1177419463, 5.13606269082e-14, 20.0456399888, -1.13004745876e-14, 79.4678374943, 6.66037154701e-13, 103.148848307, 0.000353127279112, 16.3238528894, 0.00196081682492, 67.2678706915, 0.00278239933742, 89.7853586659, 3
1.91027529003, 519.707699068, 738.206514958, 875.688060197, 752.608935242, 472.021612, 308.736111204, 201.209383666, 217.715836601, 250.302604397, 575.058881911, 801.468032911, 934.918434811, 884.206298053, 619.998366854, 466.240983046, 382.086621151, 363.134719908, 378.305505283, 748.96342881, 574.982326619, 511.628675798, 442.672328126, 399.430578454, 422.909578608, 531.980989802, 668.860729674, 708.670851427, 783.222574453, 702.955296489, 700.348197436, 599.312132374, 506.769668954, 420.466409921, 350.420855468, 425.264516074, 539.302147193, 615.343129047, 603.635598564, 729.108404836, 772.564692298, 747.966185964, 667.449946314, 553.854590197, 516.257720292, 456.581404784, 902.019904309, 697.894892552, 565.749682402, 498.13144268, 500.978676477, 492.937330968, 482.198758409, 578.754125462, 696.170536146, 981.253081232, 660.63954465, 450.401160988, 328.154058695, 359.747242784, 378.289443806, 386.562455141, 523.182309155, 754.139566426, 752.450165513, 532.20610757, 569.063563374, 589.739565469, 676.203938159, 680.790147572, 616.220838311, 608.790810221, 576.127682999, 940.542745531, 739.686992993, 591.792657155, 489.590039773, 496.98854056, 476.525498142, 447.461478056, 541.730629869, 670.982736125, 6.30553788512e-14, 19.1774877096, -2.23590071851e-13, 75.6108587697, 2.14319458826e-13, 98.3299308694, -5.18122275362e-05, 25.9076412778, -0.000276361043409, 105.765695648, -0.00038781389358, 140.575818783, 6.79603304957e-14, 33.7392617885, -2.8157991567e-14, 135.346523359, 8.58291671821e-13, 176.09812279, 5.18122275774e-05, 24.2696619307, 0.000276361044759, 99.1320274964, 0.000387813893627, 132.150453805, 3
1.93576950543, 603.029014844, 678.345832136, 874.501299013, 807.270405463, 659.482138486, 470.82961816, 318.975862182, 305.048597586, 308.091353662, 483.886173171, 506.782709016, 710.733930115, 831.659388199, 830.966164347, 733.909070604, 615.81755418, 521.664906625, 437.385689762, 609.737612747, 344.884592308, 397.398771444, 433.206267319, 572.717896641, 697.927803225, 752.038078868, 791.089574198, 646.462770758, 846.797741784, 733.76611188, 697.380529143, 612.129427864, 562.519926982, 504.58989981, 449.397723093, 505.482693095, 606.918017369, 619.727970142, 539.582364648, 647.341219913, 730.507670185, 780.674768204, 749.81075256, 653.84182054, 587.794227366, 522.684027792, 749.27529961, 562.83040745, 524.95482538, 518.679278466, 574.14804782, 627.589211818, 650.791209759, 684.650640791, 681.314361497, 918.582892369, 635.082523027, 605.705781514, 532.733846708, 542.117095635, 536.280208268, 535.927489355, 660.571561062, 709.977743188, 668.905895423, 536.506784366, 620.93423564, 675.080550376, 754.108213116, 747.987317824, 659.120287341, 614.567625531, 514.029126899, 818.455210203, 624.626948397, 613.407761648, 570.806297128, 609.073357859, 606.208168592, 562.472900357, 600.351383873, 589.597678887, 5.19865814777e-14, 17.0352391103, -1.32891959896e-13, 66.8022957356, 1.67699781816e-13, 86.5958882513, -0.000230761073644, 19.7017007108, -0.00141034322278, 85.6969446297, -0.00203977860804, 115.748106612, 5.78417058192e-14, 20.6404811514, -2.02000738952e-14, 82.1983684288, 7.28262306427e-13, 106.752052996, 0.00023076107369, 19.0202364099, 0.00141034322389, 82.9272741284, 0.0020397786081, 112.247806614, 2
1.9325755772, 693.311695447, 710.330081881, 768.81734226, 687.850569508, 590.687327849, 475.586037879, 373.713568744, 365.454068169, 402.074869259, 582.284131331, 556.690055493, 677.840273105, 753.826147638, 792.930449926, 743.324638308, 683.49875342, 601.342439066, 516.65501745, 686.674631789, 455.941721318, 425.396419376, 429.985204037, 510.451990332, 607.683373892, 727.588116665, 797.504229908, 740.744900009, 892.205853108, 738.491149046, 629.871520112, 544.132101313, 530.423308753, 503.130533951, 473.933359959, 534.962542497, 651.055425443, 653.74645248, 566.484120022, 640.359008398, 711.135621951, 770.630030271, 738.182503887, 657.799808145, 587.823434733, 527.632369574, 850.490781, 667.563442353, 574.175651219, 545.802086371, 571.711123217, 572.665851832, 549.314753176, 582.914457585, 670.416241719, 1004.37265213, 757.046257847, 574.562599888, 440.228503991, 433.505859702, 447.29137038, 486.206314953, 639.924965585, 799.057684439, 739.918957528, 556.608471514, 620.374770678, 647.946360136, 700.850039892, 686.973446418, 617.786719956, 617.306517335, 560.984421383, 928.689841754, 762.523550869, 640.00450473, 555.821928247, 542.001685062, 506.003142569, 446.267275189, 535.761236892, 675.723952346, 5.06484199778e-14, 13.4169876405, -1.21308758156e-13, 52.4838034713, 2.24146323222e-13, 68.1315358159, -0.000167146069602, 17.9274355125, -0.000974649608518, 75.0740418154, -0.00139995731911, 100.537359381, 5.65536153157e-14, 22.5676578708, -2.04936227696e-14, 90.8424276994, 7.19463503147e-13, 118.225455596, 0.000167146069646, 17.3418464668, 0.000974649609612, 73.2083293419, 0.00139995731916, 98.3019560662, 3
1.90782012905, 611.838203781, 618.120058334, 675.26482104, 606.006702808, 503.241889912, 415.846361188, 380.818157709, 407.935599862, 425.935944784, 575.232424793, 420.595208324, 462.821186886, 508.046163418, 567.39188837, 655.65919215, 820.252539164, 842.733454193, 745.452656795, 559.965440453, 281.9043344, 245.877051559, 245.55783814, 328.695675448, 503.431703572, 801.86543226, 901.637476974, 794.190407906, 827.636941676, 616.773023012, 564.297480548, 506.294401848, 491.532816542, 487.526447446, 483.232106727, 554.881101119, 633.321634081, 598.745287455, 462.340278721, 525.383405384, 560.393564822, 655.458724142, 733.451778915, 773.026859597, 739.316048506, 625.153335834, 760.522813777, 535.47733433, 453.361249698, 389.178622047, 442.840123139, 536.061734343, 674.786719113, 764.833114861, 776.747347051, 734.64132335, 430.170263836, 425.89440728, 409.351516899, 468.956335272, 485.941576803, 492.442656092, 606.063489169, 633.444465598, 686.071143704, 547.285119754, 617.0571312, 640.173896764, 726.479712645, 731.112564442, 632.911017243, 594.49428053, 514.551138968, 916.794197526, 777.804038267, 657.946765599, 528.750007531, 511.316394569, 481.20477235, 441.258084188, 533.233679452, 660.373068652, 7.45497207202e-14, 17.2803461069, -2.38216382509e-13, 67.0324873066, 2.13199296228e-13, 86.8195339326, 0.00927740694185, 21.4589848215, 0.0575811335208, 91.0952731122, 0.0835060766298, 122.617306857, 6.95782126872e-14, 29.4502558552, -3.12396697605e-14, 119.147863715, 8.68540694533e-13, 155.208429231, -0.00927740694181, 24.4336766514, -0.0575811335194, 102.514882366, -0.0835060766298, 136.975941002, 2
1.91417353602, 596.027598884, 564.795793591, 598.767358971, 517.774010632, 449.118246331, 414.218101125, 414.722323078, 434.817090998, 431.840369556, 492.210548701, 408.254163975, 450.119209357, 495.16129013, 573.836882745, 734.099025701, 895.581835543, 842.08112361, 665.565420505, 470.648535781, 256.068222251, 254.564832545, 269.156338798, 393.29105557, 627.347137709, 846.223603789, 861.597036489, 667.814342366, 732.732039476, 559.863225285, 516.308208368, 470.179987961, 475.686600048, 467.018444158, 442.541168308, 469.369012954, 535.24859473, 564.598515704, 478.139070376, 541.75233527, 629.98842705, 723.759923886, 785.423815447, 772.787740581, 678.761287881, 570.719854073, 721.090376546, 529.853623351, 444.919327519, 446.300196852, 518.161493432, 624.728435937, 695.854856432, 698.227698127, 704.76864805, 798.666065227, 517.095851433, 409.365982107, 374.77351994, 420.407114511, 441.164373429, 442.415657908, 517.270151226, 618.30443934, 701.43483807, 519.662065869, 583.407962238, 650.870228977, 750.846907153, 762.957614261, 677.690460867, 605.040423933, 548.4613659, 927.521216509, 759.812196403, 615.043020329, 542.485256249, 531.897586798, 504.380805145, 456.775244895, 493.451537122, 669.844973863, 7.51840296614e-14, 20.1739439821, -2.61187922761e-13, 78.7014047358, 1.87829856619e-13, 101.96530175, 0.00140729378191, 23.6349809104, 0.00807932435669, 98.0663218203, 0.0115444946087, 131.202729817, 7.09555275589e-14, 33.8037993736, -3.38153871776e-14, 138.191137987, 8.79995232513e-13, 180.418918102, -0.00140729378188, 27.1394225705, -0.00807932435527, 112.315334694, -0.0115444946087, 149.316885958, 3
1.94492811344, 622.453559692, 1016.43382106, 1115.26316756, 891.410618799, 456.389431009, 285.979883016, 217.433370492, 248.09835705, 322.73712605, 581.652970948, 870.70053448, 988.335655371, 911.820212092, 570.996413453, 427.392748012, 382.135147802, 379.436744197, 392.871754782, 683.877088774, 540.32921838, 517.299317709, 467.433660629, 417.32181391, 441.587825947, 599.267255223, 770.180980621, 766.744687965, 841.028850591, 782.185014223, 740.962829973, 620.663008029, 512.176950695, 436.85837588, 398.591514842, 497.862010494, 623.47608689, 616.759405467, 617.242813018, 705.847084751, 750.151735271, 746.386427933, 685.090032181, 578.978556756, 537.044531058, 481.814251759, 800.927991414, 608.827779564, 531.53956722, 512.483124748, 565.921655744, 581.964148096, 575.167806853, 653.816099446, 703.008834212, 964.228389891, 610.013757602, 481.442213679, 394.049109508, 439.36625404, 487.347695073, 539.430537368, 718.778559901, 831.211616032, 663.568433888, 511.793618091, 591.389102717, 631.120018428, 716.720268625, 729.403067467, 675.25088371, 646.726465031, 541.176329461, 883.418247602, 760.72007385, 670.09554784, 577.018008529, 557.091702695, 517.356961063, 460.702280783, 516.553033134, 626.613670228, 3.39251328376e-14, 15.7444040242, -1.0223061275e-13, 60.6264335967, 2.35474154435e-13, 78.852511891, 0.00171245720952, 23.9928852304, 0.0109888817914, 98.3028269094, 0.0160427501213, 131.037082191, 5.31750664491e-14, 32.2299653293, -1.68636266256e-14, 128.118102464, 6.84137847901e-13, 166.413159727, -0.00171245720947, 23.7341502904, -0.0109888817904, 97.4971543004, -0.0160427501212, 130.013470935, 3
1.92161994675, 491.925929861, 656.466610412, 860.508299203, 771.463680547, 527.19465384, 307.249519555, 199.855183736, 214.545609341, 238.68121863, 458.889700376, 679.77569956, 980.223456851, 1041.16202704, 800.020589842, 521.733361673, 393.580323993, 335.581794768, 328.904209696, 662.794865263, 509.253369168, 579.125731548, 569.5316537, 540.875721423, 511.806422157, 546.713410951, 628.585290432, 622.827122478, 743.682416224, 731.061605834, 735.237695511, 626.103075149, 511.539624212, 409.005021882, 356.885870869, 396.353715563, 499.048516421, 593.58894944, 573.587868371, 747.173093358, 799.609514985, 764.695559235, 662.131266287, 590.534331755, 540.121419936, 485.391228916, 857.727361025, 603.429744225, 537.026928061, 510.386161532, 521.725411833, 524.488642124, 549.735558176, 643.643743804, 745.245129484, 918.679928403, 742.492007716, 580.495399256, 435.325569347, 435.862696984, 453.353229727, 464.312457101, 544.483368309, 676.32575598, 677.924547745, 557.54313741, 619.049381414, 643.78893173, 699.513185816, 688.241834705, 630.614290961, 596.651610802, 544.332225761, 916.361686257, 731.34634761, 606.886513175, 522.220759347, 487.609685053, 456.169206536, 450.985316395, 554.935511828, 716.202024965, 5.36084067851e-14, 18.1303286979, -1.88428054816e-13, 70.35611711, 1.68354857775e-13, 91.2696186542, 0.0120660393305, 27.4519789892, 0.073114801015, 111.43964982, 0.105521352556, 147.474455144, 6.50861067072e-14, 37.2457113153, -2.72116347251e-14, 151.530706591, 8.12291780724e-13, 197.695698453, -0.0120660393305, 24.4977312862, -0.0731148010138, 98.3882082305, -0.105521352555, 130.568455573, 2
1.91100371764, 560.623536501, 719.868544918, 812.197170074, 688.713414251, 485.920397112, 376.060804004, 319.425584912, 319.619961942, 345.004597638, 557.968359681, 565.500891489, 645.036528045, 685.129914081, 666.262562999, 666.545694913, 697.553341486, 660.946128738, 563.597945309, 592.918393393, 383.433156518, 365.928033574, 367.079811291, 435.151210313, 570.545678889, 801.646561868, 889.852436256, 747.606029177, 837.7669757, 746.28432177, 671.834645238, 576.792421062, 533.128336036, 490.756411402, 448.838360402, 496.979802408, 575.047687613, 651.581523072, 547.681565893, 635.630246282, 705.814782526, 779.943503324, 767.391524943, 676.938333648, 614.138902153, 530.109176408, 807.444433278, 588.544080518, 542.755887566, 512.461014134, 550.411028985, 581.022054852, 608.695627774, 688.675645409, 710.471132608, 996.396272617, 705.273184808, 497.545139834, 407.816706285, 436.420116308, 459.275151852, 469.173532628, 609.673718444, 784.253004192, 692.637962394, 526.565899281, 605.438754416, 660.426753094, 736.988547217, 736.338122173, 640.345753874, 614.198162362, 526.615382434, 925.397819923, 707.942244653, 591.177955011, 524.404413601, 522.962087906, 494.278155256, 444.684902661, 564.54464958, 699.400362024, 4.41849614163e-14, 18.0016322081, -1.51918997573e-13, 69.4086611408, 2.61269627881e-13, 89.8282550638, -7.20943335121e-05, 22.845549176, -0.000503959618674, 96.1037644072, -0.000736228392986, 128.622964097, 6.561730397e-14, 27.7436815411, -2.33945648617e-14, 111.70609888, 8.34247204742e-13, 145.452648112, 7.209433356e-05, 22.0759135653, 0.000503959619946, 92.3861984848, 0.000736228393037, 123.801546169, 3
1.92019710738, 528.041678678, 793.822465183, 944.431750798, 834.026796443, 476.890010297, 290.744592663, 203.960723826, 218.826022865, 264.031521738, 589.386641743, 862.72303975, 993.391036214, 926.732500828, 588.811293064, 404.762159622, 347.515682168, 344.594180563, 390.170735203, 690.004654971, 561.786867447, 536.975505302, 437.332165503, 360.084589334, 348.951134281, 409.767807284, 529.533779983, 556.524098608, 802.474214685, 743.172365122, 733.559417709, 643.617712376, 523.424007471, 453.38525585, 386.118562646, 431.40819559, 538.645565666, 620.217840144, 677.206235022, 775.318673273, 783.175971524, 714.354255933, 645.484889155, 543.622111962, 486.526843222, 451.241950988, 820.421711433, 605.845764257, 557.112349973, 480.09685442, 466.945626915, 456.491313146, 431.776680995, 511.418452118, 594.80326321, 962.185857291, 652.527798315, 489.663835741, 405.267625003, 428.452645388, 444.317088165, 445.908748385, 553.366475515, 732.505187548, 730.997241769, 562.052678849, 585.517142488, 609.876237362, 683.329141106, 695.691221286, 630.994632162, 613.208167491, 569.017378734, 916.613421872, 637.840259427, 504.750834114, 430.768937276, 439.844349849, 437.720251838, 399.054160124, 489.64765002, 679.906498012, 7.20478661901e-14, 19.0244412138, -2.59364147772e-13, 74.1883175148, 1.56748353745e-13, 96.2638966968, 0.00016983727009, 26.879470409, 0.00110412690632, 109.187261943, 0.00161732915468, 144.750908562, 6.71330205663e-14, 35.8830571489, -3.24144088253e-14, 145.905625405, 8.31022223429e-13, 190.325632501, -0.000169837270058, 24.822841441, -0.00110412690497, 101.794945112, -0.00161732915465, 135.513723738, 3
