@RELATION gabor

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
3.9791087092e-14, 34.0521835749, -2.70360123178e-13, 66.2610671431, -7.79792896921e-14, 95.8205875286, 1.8687308645e-14, 51.2863914915, 1.61726534942e-13, 95.9483947532, -4.00374178255e-15, 134.895679989, 4.85670531569e-14, 88.7821005458, -7.93596958981e-14, 174.706086818, -2.28940564423e-13, 254.520273638, 1.55205709396e-14, 50.889737977, -4.33021674073e-14, 95.2032137942, -1.54043444667e-13, 133.854462561, 2
4.92245133543e-14, 32.8969860565, -2.94653190736e-13, 63.5675254622, -7.40796313181e-14, 91.5876697988, 1.94011473553e-14, 53.1420584628, 1.75942593827e-13, 99.402497996, -2.36199948489e-14, 139.890879902, 4.92518352491e-14, 94.4927512343, -8.12375340609e-14, 185.702612667, -2.27378879614e-13, 270.339050651, 1.6750489884e-14, 55.9587524582, -3.87190279838e-14, 105.259452589, -1.55445101235e-13, 148.662869265, 2
6.6502359175e-14, 34.7567824133, -3.9920844408e-13, 66.9484912461, -1.2667644711e-13, 96.2485908823, 2.12746487094e-14, 50.8198425277, 2.17631468402e-13, 94.6472219872, 1.23234755733e-14, 132.749846292, 6.43513020648e-14, 91.1201315279, -1.06612635387e-13, 178.972256937, -2.92562848947e-13, 260.490434082, 1.37875821871e-14, 55.1846811986, -6.5641936331e-14, 103.572390422, -1.81479831163e-13, 146.019556169, 3
3.12389003554e-14, 29.5494644018, -2.86853873988e-13, 56.9507219964, -7.50510764647e-14, 81.93788557, 2.04419814409e-14, 44.6985042576, 1.713074127e-13, 84.3316360198, -3.11001224773e-14, 119.584829591, 4.7059903717e-14, 74.3934105633, -7.78145993821e-14, 145.745110356, -2.20753320138e-13, 211.785080205, 2.02615701994e-14, 45.7630442334, -3.51246809416e-14, 86.4797581798, -1.48048240334e-13, 122.756133639, 2
3.74145159299e-14, 25.7423830794, -2.77777800761e-13, 49.5401477317, -8.08242361927e-14, 71.2592095955, 2.0004831125e-14, 48.2280575093, 1.74096848049e-13, 89.831974547, -8.04911692853e-16, 125.873585953, 5.14458267653e-14, 86.0769613196, -8.36093347334e-14, 169.132551124, -2.42214885302e-13, 246.211782622, 1.56125112838e-14, 47.5976627717, -4.5130565951e-14, 88.4902414923, -1.57984736404e-13, 123.829908471, 3
6.66272592653e-14, 32.3448903889, -3.84470233428e-13, 62.1711091421, -1.40443212615e-13, 89.2706709106, 2.08860706508e-14, 50.7623589494, 2.25486296301e-13, 94.7747473693, 4.96686025642e-14, 133.21817706, 6.93792896397e-14, 89.0713865172, -1.1653557893e-13, 174.819579252, -3.27377014386e-13, 254.343435912, 1.13312137451e-14, 52.8031433773, -7.81041897824e-14, 98.9967201137, -2.00922611882e-13, 139.542971899, 3
4.03843625207e-14, 31.3969993715, -2.5493496203e-13, 60.6198191322, -6.5281113848e-14, 87.2951830619, 1.80272463624e-14, 46.5501923492, 1.42219569454e-13, 87.3499667658, -8.71525074331e-15, 123.332322818, 4.38036651222e-14, 79.4786146718, -7.21897585113e-14, 155.777782051, -2.0734987078e-13, 226.43183339, 1.46757606068e-14, 48.7834929991, -3.71369601737e-14, 92.0149533864, -1.38715428033e-13, 130.325785787, 3
2.73288336405e-14, 27.4638429146, -2.46871967313e-13, 53.0191708437, -3.96904731303e-14, 76.3492967859, 1.93248195224e-14, 43.8549065504, 1.33896366217e-13, 83.3848827373, -2.9247437805e-14, 118.882061395, 3.91914961855e-14, 70.0694391397, -6.53451901964e-14, 137.416063133, -1.90210043896e-13, 199.791834963, 1.63809937836e-14, 41.8423138679, -2.97088742496e-14, 79.201020935, -1.28640154085e-13, 112.623051407, 3
2.9101721033e-14, 24.7825913362, -2.975397706e-13, 47.7036800109, -8.43769498715e-14, 68.5739950173, 2.61804466994e-14, 34.4017616339, 1.8472723351e-13, 64.9765583195, -3.0614399904e-14, 92.2083565756, 5.42012181665e-14, 55.9201060837, -9.0928349919e-14, 109.622710427, -2.72918840305e-13, 159.371997537, 2.79151701754e-14, 34.7361643165, -3.78030939885e-14, 65.4974895979, -1.88724036398e-13, 92.8301426787, 3
3.43648720591e-14, 29.0287915357, -2.60860777423e-13, 55.3870972351, -4.52415882535e-14, 79.2228128372, 1.91548166217e-14, 50.969986413, 1.44044498551e-13, 96.2306432954, -3.49026363367e-14, 136.529654961, 4.15458683081e-14, 86.0060472218, -6.80417094195e-14, 168.646787841, -1.98082869551e-13, 245.201605426, 1.72813152677e-14, 51.570499813, -2.95492796898e-14, 97.4826360381, -1.36973765663e-13, 138.391160415, 3
3.22138149489e-14, 27.7439018257, -2.56988874625e-13, 53.3000481229, -4.20496970577e-14, 76.5730697686, 1.94705362944e-14, 48.2953195534, 1.34968425325e-13, 90.8803575107, -3.70814490225e-14, 128.536925794, 3.96095916483e-14, 82.0075221474, -6.65735912578e-14, 160.78894102, -1.94093005557e-13, 233.758162157, 1.66169161764e-14, 47.9635216921, -2.92404989111e-14, 90.1471902055, -1.35197408824e-13, 127.40580637, 3
4.04520167363e-14, 28.3322780085, -2.48422810101e-13, 54.5028502183, -7.60433382929e-14, 78.331818027, 1.44311645967e-14, 49.7382800002, 1.44901451948e-13, 93.4772669923, 6.14612527539e-15, 131.980419518, 4.46156241292e-14, 87.1753922782, -7.31494942743e-14, 171.357788417, -2.08438409761e-13, 249.454824025, 1.14292256215e-14, 50.731646294, -4.22509249809e-14, 95.4625699946, -1.33551156245e-13, 134.893321148, 2
6.72795152923e-14, 35.6486780704, -3.62432306389e-13, 68.4233173401, -1.26565424807e-13, 98.22380597, 2.08999484386e-14, 58.1384491332, 2.22447060771e-13, 109.575631257, 2.62012633812e-14, 155.178503262, 6.69317032354e-14, 95.3481619756, -1.11318940177e-13, 186.957344952, -3.13487083514e-13, 271.828917596, 1.40443212615e-14, 55.3929715685, -6.76680933509e-14, 103.995700005, -1.99104621679e-13, 146.933133585, 3
4.53248549803e-14, 26.3290910403, -3.03729263962e-13, 50.4152608584, -9.00390872971e-14, 72.3138580173, 2.06848427275e-14, 47.1433824671, 1.88876692064e-13, 88.3374484819, -3.46944695195e-15, 124.576349992, 5.53075922734e-14, 80.8365975781, -9.08622135865e-14, 158.457142668, -2.63399545231e-13, 230.353952089, 1.75935654934e-14, 46.8206647281, -4.83363349346e-14, 87.803395216, -1.72660497011e-13, 123.881840587, 2
6.13536998983e-14, 30.9918496152, -3.45834472171e-13, 59.6347176228, -1.1585177262e-13, 85.7440801028, 2.03725925019e-14, 55.837790583, 2.10137462986e-13, 105.039891847, 2.25652829755e-14, 148.434587756, 6.27207704176e-14, 94.3212167405, -1.04069964452e-13, 184.96321178, -2.91648649675e-13, 268.925879785, 1.30451205393e-14, 53.4457760798, -6.1742277957e-14, 99.8508125581, -1.85518267415e-13, 140.472999624, 3
