@RELATION gaborfractal

@ATTRIBUTE a1 REAL
@ATTRIBUTE a2 REAL
@ATTRIBUTE a3 REAL
@ATTRIBUTE a4 REAL
@ATTRIBUTE a5 REAL
@ATTRIBUTE a6 REAL
@ATTRIBUTE a7 REAL
@ATTRIBUTE a8 REAL
@ATTRIBUTE a9 REAL
@ATTRIBUTE a10 REAL
@ATTRIBUTE a11 REAL
@ATTRIBUTE a12 REAL
@ATTRIBUTE a13 REAL
@ATTRIBUTE a14 REAL
@ATTRIBUTE a15 REAL
@ATTRIBUTE a16 REAL
@ATTRIBUTE a17 REAL
@ATTRIBUTE a18 REAL
@ATTRIBUTE a19 REAL
@ATTRIBUTE a20 REAL
@ATTRIBUTE a21 REAL
@ATTRIBUTE a22 REAL
@ATTRIBUTE a23 REAL
@ATTRIBUTE a24 REAL
@ATTRIBUTE a25 REAL
@ATTRIBUTE class {1,2,3,4,5}

@DATA
1.94902896259, 3.08403086322e-14, 15.1885474815, -6.4513486955e-14, 60.6145833896, 2.80292330527e-13, 78.8949880638, -0.000353127279064, 16.9481141567, -0.00196081682397, 69.8725453209, -0.00278239933736, 93.1177419463, 5.13606269082e-14, 20.0456399888, -1.13004745876e-14, 79.4678374943, 6.66037154701e-13, 103.148848307, 0.000353127279112, 16.3238528894, 0.00196081682492, 67.2678706915, 0.00278239933742, 89.7853586659, 3
1.91027529003, 6.30553788512e-14, 19.1774877096, -2.23590071851e-13, 75.6108587697, 2.14319458826e-13, 98.3299308694, -5.18122275362e-05, 25.9076412778, -0.000276361043409, 105.765695648, -0.00038781389358, 140.575818783, 6.79603304957e-14, 33.7392617885, -2.8157991567e-14, 135.346523359, 8.58291671821e-13, 176.09812279, 5.18122275774e-05, 24.2696619307, 0.000276361044759, 99.1320274964, 0.000387813893627, 132.150453805, 3
1.93576950543, 5.19865814777e-14, 17.0352391103, -1.32891959896e-13, 66.8022957356, 1.67699781816e-13, 86.5958882513, -0.000230761073644, 19.7017007108, -0.00141034322278, 85.6969446297, -0.00203977860804, 115.748106612, 5.78417058192e-14, 20.6404811514, -2.02000738952e-14, 82.1983684288, 7.28262306427e-13, 106.752052996, 0.00023076107369, 19.0202364099, 0.00141034322389, 82.9272741284, 0.0020397786081, 112.247806614, 2
1.9325755772, 5.06484199778e-14, 13.4169876405, -1.21308758156e-13, 52.4838034713, 2.24146323222e-13, 68.1315358159, -0.000167146069602, 17.9274355125, -0.000974649608518, 75.0740418154, -0.00139995731911, 100.537359381, 5.65536153157e-14, 22.5676578708, -2.04936227696e-14, 90.8424276994, 7.19463503147e-13, 118.225455596, 0.000167146069646, 17.3418464668, 0.000974649609612, 73.2083293419, 0.00139995731916, 98.3019560662, 3
1.90782012905, 7.45497207202e-14, 17.2803461069, -2.38216382509e-13, 67.0324873066, 2.13199296228e-13, 86.8195339326, 0.00927740694185, 21.4589848215, 0.0575811335208, 91.0952731122, 0.0835060766298, 122.617306857, 6.95782126872e-14, 29.4502558552, -3.12396697605e-14, 119.147863715, 8.68540694533e-13, 155.208429231, -0.00927740694181, 24.4336766514, -0.0575811335194, 102.514882366, -0.0835060766298, 136.975941002, 2
1.91417353602, 7.51840296614e-14, 20.1739439821, -2.61187922761e-13, 78.7014047358, 1.87829856619e-13, 101.96530175, 0.00140729378191, 23.6349809104, 0.00807932435669, 98.0663218203, 0.0115444946087, 131.202729817, 7.09555275589e-14, 33.8037993736, -3.38153871776e-14, 138.191137987, 8.79995232513e-13, 180.418918102, -0.00140729378188, 27.1394225705, -0.00807932435527, 112.315334694, -0.0115444946087, 149.316885958, 3
1.94492811344, 3.39251328376e-14, 15.7444040242, -1.0223061275e-13, 60.6264335967, 2.35474154435e-13, 78.852511891, 0.00171245720952, 23.9928852304, 0.0109888817914, 98.3028269094, 0.0160427501213, 131.037082191, 5.31750664491e-14, 32.2299653293, -1.68636266256e-14, 128.118102464, 6.84137847901e-13, 166.413159727, -0.00171245720947, 23.7341502904, -0.0109888817904, 97.4971543004, -0.0160427501212, 130.013470935, 3
1.92161994675, 5.36084067851e-14, 18.1303286979, -1.88428054816e-13, 70.35611711, 1.68354857775e-13, 91.2696186542, 0.0120660393305, 27.4519789892, 0.073114801015, 111.43964982, 0.105521352556, 147.474455144, 6.50861067072e-14, 37.2457113153, -2.72116347251e-14, 151.530706591, 8.12291780724e-13, 197.695698453, -0.0120660393305, 24.4977312862, -0.0731148010138, 98.3882082305, -0.105521352555, 130.568455573, 2
1.91100371764, 4.41849614163e-14, 18.0016322081, -1.51918997573e-13, 69.4086611408, 2.61269627881e-13, 89.8282550638, -7.20943335121e-05, 22.845549176, -0.000503959618674, 96.1037644072, -0.000736228392986, 128.622964097, 6.561730397e-14, 27.7436815411, -2.33945648617e-14, 111.70609888, 8.34247204742e-13, 145.452648112, 7.209433356e-05, 22.0759135653, 0.000503959619946, 92.3861984848, 0.000736228393037, 123.801546169, 3
1.92019710738, 7.20478661901e-14, 19.0244412138, -2.59364147772e-13, 74.1883175148, 1.56748353745e-13, 96.2638966968, 0.00016983727009, 26.879470409, 0.00110412690632, 109.187261943, 0.00161732915468, 144.750908562, 6.71330205663e-14, 35.8830571489, -3.24144088253e-14, 145.905625405, 8.31022223429e-13, 190.325632501, -0.000169837270058, 24.822841441, -0.00110412690497, 101.794945112, -0.00161732915465, 135.513723738, 3
1.92973927654, 5.51567917509e-14, 18.2161348516, -1.69576787018e-13, 72.0997046529, 1.7761890521e-13, 93.7507770955, -0.00161350428685, 22.8216780159, -0.0100013869249, 94.8420028402, -0.0144974876275, 126.79030054, 6.01317763549e-14, 30.5548361678, -2.63615732027e-14, 123.803860904, 7.56583388228e-13, 161.385051267, 0.00161350428689, 23.5540433067, 0.0100013869261, 97.9192065442, 0.0144974876276, 130.708491737, 3
1.9481865942, 2.8772594732e-14, 14.6779621883, -7.00133138479e-14, 57.6272133643, 2.74251951738e-13, 74.7822124074, 0.0133872024638, 17.2117641962, 0.0822211812981, 72.2910501735, 0.119005214276, 96.9014642697, 4.78088647774e-14, 20.7868170745, -1.2201670858e-14, 82.9828015917, 6.14847176373e-13, 107.819906892, -0.0133872024638, 17.4696427977, -0.0822211812972, 73.5546465237, -0.119005214276, 98.5521092033, 3
1.95240943689, 4.28630893042e-14, 16.8411513566, -1.36348336226e-13, 65.8352531017, 1.81338676678e-13, 85.4358464652, -0.000422815660709, 19.2558107849, -0.00284957163387, 82.774930156, -0.00419780410899, 111.433672392, 4.9508492218e-14, 19.0044723132, -1.73544500696e-14, 73.6878679701, 6.25759631199e-13, 95.2756094582, 0.000422815660743, 17.3763545613, 0.00284957163483, 73.8781808785, 0.00419780410902, 99.9033383394, 3
1.91437844664, 5.17957875949e-14, 19.412597112, -1.6230199626e-13, 77.5974593126, 2.45485205095e-13, 101.004948734, -0.00779003280067, 21.9017048871, -0.0473532830151, 88.6641981413, -0.0683957287897, 117.521149819, 6.23757561377e-14, 29.3192604208, -2.17735294815e-14, 119.267270575, 7.89953562097e-13, 155.625944238, 0.00779003280071, 21.9205517007, 0.0473532830164, 88.3948983576, 0.0683957287898, 117.081812765, 2
1.89953792694, 6.69957002541e-14, 20.1135716521, -1.65056445877e-13, 79.5578507073, 1.55021126251e-13, 103.425831351, -0.000321583324885, 22.569523004, -0.00215667649307, 92.9257090755, -0.00317740555394, 124.157970483, 6.33750368142e-14, 29.8126426149, -2.42200406964e-14, 119.905561447, 7.92279593554e-13, 156.10747116, 0.000321583324932, 24.4565549166, 0.00215667649429, 101.185535153, 0.00317740555401, 134.791260633, 2
1.89669319558, 9.01921427347e-14, 22.6230007937, -3.07796586572e-13, 89.3728747153, 5.80364288863e-14, 115.91127163, -0.0102171222924, 18.8891744993, -0.061778210402, 80.6799130655, -0.0891321729527, 109.330441368, 8.19283541329e-14, 22.2009290632, -4.11429235445e-14, 88.900128807, 9.99187015706e-13, 115.746075607, 0.0102171222925, 24.384334025, 0.0617782104036, 102.982031125, 0.0891321729528, 137.595005381, 3
1.93341583406, 4.10923861673e-14, 18.4912436113, -1.18360078754e-13, 72.9056163123, 1.58197160596e-13, 94.6444917174, 0.000497956843969, 20.8111902316, 0.00272033831364, 87.8989920061, 0.00383671595797, 118.069244661, 6.10011470951e-14, 26.0323543495, -1.90973406379e-14, 104.624265575, 7.71182570233e-13, 136.137788658, -0.000497956843915, 22.2317704262, -0.00272033831248, 93.3335135504, -0.00383671595789, 124.891177162, 2
1.92283122403, 4.85040448592e-14, 18.1181631489, -1.6916472795e-13, 71.2643499867, 2.67529574168e-13, 92.6078177028, 0.00017303381529, 22.5617313255, 0.000682365728527, 90.0481106992, 0.000881153184036, 119.062103165, 6.59456999753e-14, 29.6862892785, -2.0681353292e-14, 119.494650113, 8.38833346634e-13, 155.650307294, -0.000173033815245, 21.2743426325, -0.000682365727249, 85.5719587392, -0.000881153183987, 113.502792181, 3
1.86657366849, 8.80999891238e-14, 20.8155715415, -3.48721508917e-13, 82.4814432915, 2.05566153948e-13, 107.120425695, -0.000975069683361, 20.7846413168, -0.00597753060817, 87.6124963424, -0.00864727045709, 117.824153729, 8.94886588243e-14, 24.4202947558, -4.20441459426e-14, 97.0709012913, 1.10194569519e-12, 126.058065862, 0.000975069683399, 23.0093115693, 0.00597753060998, 96.9161362716, 0.00864727045713, 129.644853138, 3
1.94027732026, 5.35655653349e-14, 17.759320046, -1.42512065249e-13, 70.2948574388, 2.1133821716e-13, 91.3877171458, 0.000850391006955, 21.3491260255, 0.00535024013302, 89.1407619041, 0.00779148010488, 119.371437169, 5.60918252861e-14, 27.3616617282, -2.31666537805e-14, 110.117103091, 7.07848229048e-13, 143.321515049, -0.000850391006913, 22.0607595001, -0.00535024013192, 92.465150128, -0.00779148010485, 123.709506957, 3
1.94655353839, 3.56938073063e-14, 15.9690206128, -9.80490494465e-14, 62.599700091, 2.37882690226e-13, 81.287190089, -5.19327025451e-05, 20.9271479708, -0.000216695246408, 88.2530883776, -0.000284316871304, 118.463163332, 5.11111843292e-14, 23.5464773344, -1.92121581561e-14, 92.5312866646, 6.58763213161e-13, 119.949355893, 5.19327025897e-05, 18.5913445213, 0.000216695247412, 78.8475491218, 0.00028431687135, 106.583173568, 3
1.82918812062, 3.71320587784e-14, 16.8369910596, -5.82032254927e-14, 65.859459643, 4.48129236206e-13, 85.3564802997, 0.00135348824353, 17.2158105258, 0.00846974194475, 72.2950767486, 0.0123022622459, 97.0150228942, 7.13368333148e-14, 18.4613936489, -1.9444245438e-14, 72.3994798784, 9.22830076102e-13, 93.8327894153, -0.00135348824345, 17.6843990945, -0.00846974194344, 74.3487118529, -0.0123022622459, 99.6262954959, 3
1.9204958327, 4.71677566689e-14, 18.4030361022, -9.56747255723e-14, 70.7343418303, 2.19630806454e-13, 91.5534436179, 0.00450732724683, 25.7433574001, 0.0277477015848, 107.325192171, 0.040186396308, 143.593932052, 5.37104654305e-14, 29.6916173168, -1.99920555647e-14, 116.663142758, 6.88619349014e-13, 151.148170727, -0.00450732724678, 23.2782207307, -0.0277477015837, 99.2454650545, -0.040186396308, 133.878805289, 3
1.94840720411, 4.31398858109e-14, 17.1789005881, -8.62797716217e-14, 66.7023741626, 2.44549510957e-13, 86.5120296209, 0.000901110905139, 22.4328239646, 0.00544075111903, 93.7112202183, 0.00784674033589, 125.53527795, 5.17455534297e-14, 28.4764588739, -2.04227124466e-14, 113.318162529, 6.72317163076e-13, 147.220987236, -0.000901110905094, 22.7304459888, -0.00544075111799, 94.8350115946, -0.00784674033584, 126.94544524, 3
1.93489755364, 5.42643274599e-14, 18.2685708471, -1.88221968242e-13, 72.2576684717, 1.71634005206e-13, 93.8691002186, -0.00202058611952, 21.1341346798, -0.0121177947525, 87.6790355769, -0.0174477949699, 117.211769376, 5.67774665978e-14, 27.6422687802, -2.52572318524e-14, 112.054110904, 7.08670721923e-13, 146.069949106, 0.00202058611955, 22.1745325551, 0.0121177947537, 92.4690752771, 0.0174477949699, 123.439208158, 2
1.8208762462, 8.9990894043e-14, 25.4280922322, -2.8988392795e-13, 100.588780497, 2.57838012861e-13, 130.625752155, 0.00265899822152, 29.1489803979, 0.0149569790348, 119.23901073, 0.0212390529408, 158.567659534, 8.58309544816e-14, 37.558155996, -3.4528437604e-14, 150.157568796, 1.07022070877e-12, 195.248192993, -0.00265899822148, 29.1828488272, -0.0149569790331, 117.375132679, -0.0212390529408, 155.660179149, 3
1.90096263882, 5.97293604036e-14, 18.9668379406, -1.82269531432e-13, 73.9154863753, 2.77706947103e-13, 95.8769110373, -0.00230503894623, 23.8469947018, -0.0141285136129, 98.9563079001, -0.0204476277698, 132.073070608, 7.11506600842e-14, 28.5719165552, -2.38416633002e-14, 114.088105561, 9.02331460748e-13, 148.295675023, 0.00230503894627, 22.1696716409, 0.0141285136143, 92.2423768497, 0.0204476277698, 123.564541667, 2
1.87996657786, 8.21539452836e-14, 20.4906578287, -2.86720076122e-13, 80.239131721, 2.30788959046e-13, 104.115702717, 0.0168841081354, 25.3957510023, 0.102724595792, 105.907802515, 0.148386649193, 141.685768883, 8.0182614092e-14, 31.2907285828, -3.46274906325e-14, 124.680578621, 9.98852029894e-13, 161.944089699, -0.0168841081353, 24.8205747554, -0.10272459579, 102.998894311, -0.148386649193, 137.841125233, 3
1.88741470545, 4.68451196155e-14, 19.5559022917, -7.85580133912e-14, 78.0071840057, 3.90621233739e-13, 101.414903056, -0.000715100807465, 20.9771036702, -0.00429982486412, 87.6252146003, -0.00619454806026, 116.971773883, 6.31350778183e-14, 22.7017896656, -1.82863079003e-14, 90.468692093, 8.14042969469e-13, 117.55661364, 0.000715100807529, 19.0522461484, 0.00429982486532, 79.4230100015, 0.00619454806031, 106.461172573, 2
1.93696138933, 2.96732003395e-14, 15.8105087271, -7.4691784536e-14, 62.2094995084, 3.38347000166e-13, 80.7128589965, 0.00534977437135, 19.3332152995, 0.0319951131387, 80.9425002984, 0.0460299362145, 108.218189006, 5.43963136994e-14, 22.6075724304, -1.39857946897e-14, 89.6933105413, 7.01653869894e-13, 116.359009818, -0.00534977437129, 18.2176683128, -0.0319951131377, 76.2556304811, -0.0460299362145, 102.216989239, 2
1.82024831342, 4.92350559042e-14, 17.4193561623, -5.6375571792e-14, 68.3192463355, 4.80900002033e-13, 88.5333436203, 0.000217164614601, 18.802913879, 0.00124800234593, 78.4204855155, 0.0017813347231, 104.975820764, 7.22834458041e-14, 20.1656160895, -1.82055102589e-14, 79.3463475065, 9.33132720613e-13, 102.909603419, -0.000217164614527, 18.0775179087, -0.00124800234456, 76.4633527882, -0.00178133472304, 102.762253121, 2
1.88915006385, 3.72254360579e-14, 17.0676502409, -5.08030760969e-14, 66.7371052023, 3.70856619427e-13, 86.5021468257, 0.000784267377552, 18.8232356644, 0.00486880410966, 77.2711431664, 0.00705842116769, 102.84291749, 6.32543527026e-14, 19.3915664696, -1.5580509732e-14, 75.9423862944, 8.20149424076e-13, 98.4192386267, -0.000784267377492, 16.3702482567, -0.00486880410848, 68.2588734397, -0.00705842116763, 91.6072319287, 3
1.90841976117, 3.94014953266e-14, 18.6322502459, -5.83522256577e-14, 73.2697356041, 2.30981945961e-13, 95.0788967426, -0.00200983685133, 19.6289124264, -0.0115767650012, 81.8608236517, -0.0165184292996, 109.423463334, 5.07743824123e-14, 20.9540322668, -1.63399243838e-14, 82.8359685063, 6.52278962439e-13, 107.491223339, 0.00200983685138, 18.8640926512, 0.0115767650021, 79.1665754197, 0.0165184292996, 106.08769975, 3
1.85366053538, 4.049508785e-14, 18.1908051938, -5.91885022932e-14, 70.9218542946, 3.1383181376e-13, 91.9354377034, -0.00852496911686, 21.1153906729, -0.0516002797655, 86.7723512505, -0.0744547032724, 115.602139048, 5.79538360602e-14, 25.1498336186, -1.24568394009e-14, 100.129718209, 7.4228108799e-13, 130.104129443, 0.00852496911691, 20.4880607319, 0.0516002797666, 84.7964617976, 0.0744547032724, 113.205984069, 3
1.80898101671, 1.34965185275e-13, 25.3313588025, -4.31519752625e-13, 97.5630860333, 2.04157749342e-13, 126.296777378, -0.000123188327427, 24.2545299657, -0.000614770261229, 98.3532822958, -0.000843766456837, 131.05022633, 1.01018982137e-13, 20.713795417, -4.80552855095e-14, 80.2959640073, 1.23515776662e-12, 104.426421681, 0.00012318832745, 21.4023515364, 0.000614770263296, 89.9231865258, 0.000843766456857, 121.00883091, 4
1.84352632945, 1.04770766555e-13, 29.0451111694, -3.16006221874e-13, 111.750234948, 2.35083137077e-13, 144.608740938, -0.00496948478881, 27.4167315142, -0.0302036276354, 111.282438691, -0.0436182947818, 147.966538689, 9.31273994721e-14, 23.4815895628, -4.01463712833e-14, 91.429681614, 1.1584731349e-12, 118.961435028, 0.00496948478884, 23.7568428698, 0.0302036276373, 97.4618089972, 0.0436182947819, 130.776087027, 3
1.89152425988, -8.88871454196e-15, 21.6296613819, -9.48362994341e-15, 84.2686886325, 3.53389232091e-13, 109.295633666, 0.0167597339854, 24.0157305764, 0.101928334909, 98.7292684779, 0.147216771588, 131.460751024, 6.61207684544e-14, 23.8247943441, -2.06085661883e-14, 94.4970254509, 8.52363719191e-13, 122.965792216, -0.0167597339853, 19.8783760833, -0.101928334908, 84.027661983, -0.147216771588, 113.280383589, 4
1.72660449527, 1.34569790857e-13, 23.0426989847, -3.90019387993e-13, 87.8534974332, 2.54342200962e-13, 113.63117784, -0.00314103235905, 25.6054034556, -0.0193463323945, 108.214728482, -0.0280154138655, 145.816425691, 1.02126794359e-13, 26.4042946697, -4.45414638323e-14, 100.874664353, 1.26130705241e-12, 130.267771711, 0.00314103235908, 26.1364613915, 0.0193463323965, 111.068724616, 0.0280154138655, 149.561480788, 3
1.88331190539, 1.60163919544e-15, 20.2125787925, -1.84703176778e-13, 77.5463744352, 4.58330703985e-13, 100.434127596, 0.000195260736371, 26.7538376453, 0.00123514646617, 111.938525239, 0.00179792618883, 149.603923093, 8.05390718753e-14, 28.7390423054, -1.5281068676e-14, 114.175679242, 1.10346712374e-12, 148.34805557, -0.000195260736304, 22.6264991445, -0.0012351464645, 97.2162414161, -0.00179792618872, 131.385921982, 4
1.88519326183, 9.11362247362e-14, 33.2511895127, -2.03025549829e-13, 128.900892206, 3.27380741726e-13, 167.129681824, -0.000381595710861, 28.7153974178, -0.00205156141426, 116.512745422, -0.00288241872864, 155.334303102, 8.5727455251e-14, 22.9632577204, -2.95043478583e-14, 86.9927046487, 1.07986870643e-12, 112.916627272, 0.000381595710905, 27.3189782065, 0.00205156141595, 111.590011018, 0.00288241872869, 149.230921275, 5
1.84004769322, 6.61140318855e-14, 23.7766351182, -8.31874838236e-14, 93.8680224979, 1.98957802093e-13, 121.909419361, 6.58744999225e-05, 22.5242985952, 0.000469262167168, 93.9832693177, 0.00069829759277, 125.830402673, 9.1546847675e-14, 24.0911592384, -6.12872973909e-14, 96.2124286251, 1.14699082994e-12, 125.225950972, -6.58744998388e-05, 22.9317866951, -0.000469262165333, 95.0844013147, -0.000698297592692, 127.101010809, 3
1.86941347661, 5.03887144193e-14, 24.9596609233, -5.74912237369e-14, 97.542885094, 3.2675628117e-13, 126.421138966, -0.00167670707522, 23.233856846, -0.0102350864412, 98.1502725026, -0.0147947140658, 132.503436676, 7.20143657232e-14, 25.7181321879, -1.55908140607e-14, 101.932587195, 9.29415340035e-13, 132.410248575, 0.00167670707528, 27.2266173994, 0.0102350864426, 116.42245584, 0.0147947140659, 156.104290947, 4
1.7976019903, 4.49542552246e-14, 16.0069885415, -1.02680735428e-13, 63.544376212, 3.29352640268e-13, 82.5165995843, 0.000343222926671, 16.3074138853, 0.00216653742575, 69.0546206726, 0.00315544804887, 92.5333538691, 6.71329361557e-14, 15.8164438253, -2.08223927355e-14, 62.5047825263, 8.66872189029e-13, 81.0797879088, -0.000343222926603, 14.9408324828, -0.00216653742451, 63.6452375019, -0.00315544804882, 85.7041482038, 3
1.92125238914, 3.76529169069e-14, 14.6727123079, -7.4317506881e-14, 58.6508541644, 2.82205351908e-13, 76.2961705163, 0.00108331174237, 16.5281692537, 0.00648031023065, 67.7284853081, 0.00934152556068, 90.0362929189, 5.24582035332e-14, 20.511609578, -1.37919168541e-14, 82.6875152279, 6.67902495999e-13, 107.655879633, -0.00108331174232, 16.0603262019, -0.00648031022968, 66.2629058861, -0.00934152556062, 88.286712161, 3
1.79383903224, 8.65531697525e-14, 23.7057143948, -6.67383843662e-14, 93.13322849, 3.60090192689e-13, 120.710074164, -0.000254685417796, 23.5099075478, -0.00159217971208, 101.108453027, -0.00231265590966, 136.464104486, 8.53249455544e-14, 25.175635894, -1.19142921409e-14, 100.666610052, 1.13930136473e-12, 130.961670839, 0.000254685417847, 25.1160901333, 0.00159217971379, 107.34643205, 0.00231265590969, 144.299959886, 3
1.91872609088, 7.792808151e-14, 26.4860853905, -2.35509170915e-13, 104.202108953, 1.97987553799e-13, 135.178684317, 0.00377472210286, 30.6220154866, 0.0223964423333, 124.005096844, 0.0322106846005, 164.266324988, 7.04873873164e-14, 38.777916347, -2.97023642278e-14, 157.964778506, 8.77040169898e-13, 206.131201984, -0.00377472210283, 29.0377688283, -0.0223964423319, 118.869367296, -0.0322106846004, 158.074054467, 4
1.79078637505, 7.3739235115e-14, 30.107895809, -1.36581779425e-13, 116.18715111, 3.64781260183e-13, 150.335056533, 3.07829509088e-14, 33.2028221708, 1.0593050507e-12, 141.104890859, 6.24394900374e-14, 189.967776518, 8.52525613417e-14, 38.3705798362, -2.54241984527e-14, 152.370997438, 1.08565294559e-12, 197.883547671, 2.46993846776e-14, 35.1925499354, 5.91218244792e-13, 148.250883301, -4.2559613146e-15, 198.812227646, 4
1.84849835072, 9.92636955977e-14, 27.7140605171, -3.15645843937e-13, 107.63885756, 1.8604839321e-13, 139.503724235, -6.55531708272e-05, 26.2272534817, -0.000376101347904, 110.498303605, -0.000536440774833, 148.741419585, 8.89242706392e-14, 31.3182017416, -4.0089036357e-14, 123.638538317, 1.09460644974e-12, 160.612435498, 6.55531708629e-05, 31.4093362669, 0.000376101349677, 129.925262395, 0.000536440774875, 173.068641029, 4
1.86481865456, 1.12448129749e-13, 21.1624678837, -3.93138772734e-13, 84.7072834487, 1.73725510363e-13, 110.252024671, -5.20600745762e-06, 21.3870281023, -4.99039191226e-05, 89.9281400419, -7.80655300193e-05, 120.604033899, 8.85660128398e-14, 26.3812158295, -4.38951179762e-14, 106.66379408, 1.0790657667e-12, 139.016832534, 5.20600748065e-06, 23.1116576214, 4.99039209219e-05, 96.207854292, 7.8065530038e-05, 128.417672891, 4
1.89120555642, 5.25312852765e-14, 22.704012634, -1.37572453999e-13, 89.4451602764, 4.4079182467e-13, 116.031103645, 0.00686818274865, 26.2998748845, 0.0429060782115, 112.93515287, 0.062320492834, 152.321766404, 7.77021157888e-14, 34.1706919818, -1.52819577663e-14, 138.371328527, 1.03360149552e-12, 180.194538594, -0.00686818274861, 29.658733324, -0.04290607821, 126.167785635, -0.0623204928339, 169.033170547, 4
1.80224367825, 6.93282529263e-14, 19.543195699, 3.14754382722e-14, 75.97860969, 6.24253375435e-13, 98.3918034328, -0.00139374062091, 19.3740259828, -0.00849291472196, 80.5064311346, -0.0122694841127, 107.584348871, 9.20713824597e-14, 19.7600315922, -6.96374283813e-15, 78.395193324, 1.19650057601e-12, 101.956975744, 0.00139374062099, 18.603972723, 0.00849291472372, 77.0880579613, 0.0122694841127, 103.21218399, 3
1.83268312246, 8.52136978365e-14, 20.132132637, -1.3904022811e-13, 78.7341121162, 3.84100143888e-13, 102.233248484, 1.91912194555e-14, 24.507431116, 1.15350886497e-12, 101.296528478, 5.92106787967e-15, 135.420630328, 8.59208665885e-14, 29.2090024161, -1.72554190877e-14, 115.512146251, 1.15503217303e-12, 150.024047723, 2.00257788905e-14, 23.4483488932, 5.94350031203e-13, 97.4755543541, 2.66034057663e-14, 130.641944956, 4
1.84922370092, 1.11046741047e-13, 23.4711791478, -3.14036544886e-13, 93.5540210955, 3.44398750905e-13, 121.902953836, 0.000414160020222, 25.3545149567, 0.00249540508697, 104.361139303, 0.00359876421474, 139.101803213, 9.05080368398e-14, 29.3959080869, -3.90250460284e-14, 116.091813075, 1.15285602192e-12, 150.805587235, -0.000414160020178, 24.3956449941, -0.00249540508514, 99.3332694904, -0.00359876421469, 132.431450044, 4
1.84336697705, 4.23445457939e-14, 16.4441162755, 3.1158614783e-14, 65.6569264412, 5.38544608999e-13, 85.3908995713, 0.000251263142068, 17.3308114807, 0.0015348423863, 73.2591341568, 0.00221870410713, 98.1953967732, 8.46269128162e-14, 19.0383717036, 3.39680272935e-15, 76.9146959994, 1.10401724342e-12, 100.198318002, -0.000251263142, 16.53859026, -0.00153484238475, 70.2926136689, -0.00221870410707, 94.4989464715, 3
1.93697242385, 3.26177128288e-14, 18.481856413, -4.77087048422e-14, 72.4839773243, 3.41738891415e-13, 94.0235066773, 0.00409949143156, 20.3429290384, 0.0251431308404, 85.8203858408, 0.0363831318394, 115.122084945, 5.54515738311e-14, 23.0023463966, -1.77764524637e-14, 90.9260311148, 7.23305274842e-13, 117.983963942, -0.00409949143151, 20.4035735344, -0.0251431308393, 85.4060828315, -0.0363831318394, 114.454754205, 3
1.82501690991, 6.16144142323e-14, 24.8464704913, -8.39199118592e-14, 95.9589281178, 3.63298895872e-13, 124.311067763, -0.000285392423229, 23.3863953969, -0.00180567286088, 101.066454509, -0.00262605996046, 137.827819342, 7.89947619068e-14, 28.5860623587, -3.94294681322e-14, 112.452245753, 1.007394852e-12, 146.009978631, 0.000285392423294, 30.7913697479, 0.00180567286248, 130.842345012, 0.00262605996052, 175.379524335, 4
